分析報告開始,分析報告結束,廣告名稱,廣告投遞,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-02-23,2026-05-29,"0401_立可交屋 - 複本",not_delivering,,,,,,137,12400,總經費,7,1.970443,1.318182,2026-03-16,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,143,4700,總經費,12,2.238806,1.067729,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本",inactive,,,1,648,actions:leadgen.other,648,4700,總經費,44,0.895522,1.471449,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,175,4700,總經費,11,0.659341,1.246575,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,97,4600,總經費,4,,1.09375,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本",not_delivering,,,,,,378,4600,總經費,28,1.272534,1.335694,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",not_delivering,,,,,,160,4600,總經費,6,0.593472,1.046584,2026-04-07,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,48,4400,總經費,1,,1.173913,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,1,,,,,309,4400,總經費,15,1.974865,1.069098,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本 - 複本",not_delivering,1,1,,,,267,4400,總經費,8,0.623701,1.286096,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,1,,1,214,actions:leadgen.other,214,4800,總經費,15,0.604839,1.24937,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,,,,,,913,4800,總經費,42,0.718133,1.12677,2026-04-08,2026-04-22
2026-02-23,2026-05-29,0401_立可交屋,inactive,,,,,,654,4800,總經費,34,0.656716,1.402848,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,82,4400,總經費,3,0.775194,1.156951,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,,,,,,243,4400,總經費,19,1.246883,1.022959,2026-04-08,2026-04-22
2026-02-23,2026-05-29,"0401_立可交屋 - 複本 - 複本 - 複本",not_delivering,,,,,,412,4400,總經費,14,0.642398,1.330484,2026-04-08,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,116,4800,總經費,8,1.060071,1.194093,2026-04-08,2026-04-22
2026-02-23,2026-05-29,0401_立可交屋,inactive,,,,,,504,4300,總經費,8,0.409277,1.409615,2026-04-10,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",inactive,,,,,,188,4300,總經費,5,0.301205,1.394958,2026-04-10,2026-04-22
2026-02-23,2026-05-29,0223_高人氣高含金,not_delivering,,,,,,495,8700,總經費,23,0.758397,1.339623,2026-03-24,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本",inactive,3,,1,625,actions:leadgen.other,625,8400,總經費,41,1.606426,1.098126,2026-03-25,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本",not_delivering,,,,,,975,8400,總經費,66,0.740741,1.631868,2026-03-25,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本",not_delivering,,,,,,244,8400,總經費,18,0.823045,1.472727,2026-03-25,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,88,8000,總經費,4,2.12766,1.27027,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,,,,,,678,8000,總經費,45,0.502513,1.522571,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",inactive,,,,,,568,8000,總經費,47,1.539708,1.10772,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,24,8000,總經費,2,,1.183099,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,,,1,1083,actions:leadgen.other,1083,8000,總經費,71,0.870553,1.17579,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",not_delivering,1,,,,,689,8000,總經費,50,0.620604,1.683148,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_高人氣高含金 - 複本 - 複本",inactive,,,,,,828,8000,總經費,30,0.747664,1.430481,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本",not_delivering,,,,,,89,8000,總經費,2,0.588235,1.14094,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本",not_delivering,,,1,881,actions:leadgen.other,881,8000,總經費,45,0.869121,1.184019,2026-03-26,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本",not_delivering,,,,,,96,6400,總經費,2,0.358423,1.347826,2026-03-30,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本 - 複本",not_delivering,1,,1,2041,actions:leadgen.other,2041,6400,總經費,159,1.443408,1.174246,2026-03-30,2026-04-22
2026-02-23,2026-05-29,0311_日系微型商辦,inactive,,,1,261,actions:leadgen.other,261,7800,總經費,23,1.02145,1.463378,2026-03-30,2026-05-22
2026-02-23,2026-05-29,0223_影片,not_delivering,1,,6,457.5,actions:leadgen.other,2745,7800,總經費,208,1.441522,1.231515,2026-03-30,2026-05-22
2026-02-23,2026-05-29,0223_高人氣高含金,inactive,1,,,,,196,7800,總經費,17,1.136364,1.315888,2026-03-30,2026-05-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,215,6700,總經費,7,0.547445,1.304762,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0223_影片 - 複本 - 複本 - 複本 - 複本",not_delivering,1,,,,,799,6700,總經費,43,1.27551,1.066667,2026-03-31,2026-04-22
2026-02-23,2026-05-29,"0311_日系微型商辦 - 複本 - 複本 - 複本 - 複本",not_delivering,,,,,,49,6200,總經費,3,,1.335443,2026-03-31,2026-04-22
