分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,粉絲專頁互動,開始,結束時間
2024-03-16,2026-05-29,"202507_景立方_高效速成_西屯西區北屯北區-高奢興趣-1510 行銷活動 廣告組合",not_delivering,22404,11016,8,8,15,378.53333333,actions:leadgen.other,5678,200,每日,1087,4.851812,296,2025-07-25,進行中
2024-03-16,2026-05-29,30-65/西屯西區北屯北區/高奢興趣(名單多無效),inactive,19167,8008,9,,17,396.35294118,actions:leadgen.other,6738,250,每日,1110,5.791204,394,2025-08-01,進行中
2024-03-16,2026-05-29,28-60/西屯西區北屯/醫美消費者,inactive,1132,889,1,,,,,717,300,每日,26,2.29682,223,2025-09-15,進行中
2024-03-16,2026-05-29,30-55/台中國1沿線/傳產/工廠/休旅車,inactive,2489,1986,,,,,,1319,300,每日,72,2.892728,394,2025-09-15,進行中
2024-03-16,2026-05-29,30-60/西屯中科大里烏日/科技研發,inactive,3321,2265,1,,2,1019.5,actions:leadgen.other,2039,300,每日,114,3.432701,617,2025-09-18,進行中
2024-03-16,2026-05-29,35-55/西屯北屯/老師/教授/自營商/退休族,inactive,2161,1595,,,1,1415,actions:leadgen.other,1415,400,每日,77,3.563165,444,2025-09-18,進行中
2024-03-16,2026-05-29,25-45/西屯北屯太平/上班族/自營商/會計,inactive,2760,2058,1,,1,1568,actions:leadgen.other,1568,400,每日,100,3.623188,580,2025-09-18,進行中
2024-03-16,2026-05-29,25-45/北屯太平西屯東區/傳產/自營商/服務業,inactive,6434,4288,1,,3,1203.33333333,actions:leadgen.other,3610,400,每日,265,4.118744,1547,2025-09-18,進行中
2024-03-16,2026-05-29,27-55/十期/新婚成家教育,inactive,2700,1956,,,,,,1573,400,每日,122,4.518519,617,2025-09-18,進行中
2024-03-16,2026-05-29,30-55/西屯北區南屯/醫療人員,inactive,2403,1915,,,1,1538,actions:leadgen.other,1538,300,每日,71,2.95464,470,2025-09-22,進行中
2024-03-16,2026-05-29,28-55/西屯西區北屯/公務人員/教師,inactive,1641,1335,,,,,,982,300,每日,51,3.107861,282,2025-09-22,進行中
2024-03-16,2026-05-29,30-55/西屯西區北屯/律師/會計,inactive,1572,1422,,,,,,891,300,每日,50,3.180662,352,2025-09-24,進行中
2024-03-16,2026-05-29,28-55/西屯西區北屯/建築師/室內設計,inactive,1450,1277,,,,,,909,300,每日,51,3.517241,313,2025-09-24,進行中
2024-03-16,2026-05-29,"30-65/台中市/ 1%+精品興趣",inactive,2457,1446,1,,1,1110,actions:leadgen.other,1110,250,每日,95,3.866504,28,2026-01-30,進行中
2024-03-16,2026-05-29,"30-63/潭子 豐原/貴婦 投資 享受生活(0330移除北屯/IG",inactive,9219,5394,,,4,805.75,actions:leadgen.other,3223,250,每日,423,4.58835,161,2026-01-31,進行中
2024-03-16,2026-05-29,"30-60/洲際太原逢甲/業務 雙語學校興趣",inactive,2949,1556,,,,,,1162,250,每日,104,3.526619,29,2026-02-04,進行中
2024-03-16,2026-05-29,30-55/西屯北屯/建築工程師,inactive,4162,2253,1,,2,456,actions:leadgen.other,912,250,每日,243,5.838539,75,2026-03-12,進行中
2024-03-16,2026-05-29,27-55/十期/591房產/上班族,inactive,23697,10384,,,15,361.33333333,actions:leadgen.other,5420,250,每日,1163,4.907794,1195,2026-03-12,進行中
2024-03-16,2026-05-29,28-55/北屯/房地產/室內設計,inactive,6543,3521,,,3,524,actions:leadgen.other,1572,400,每日,290,4.432218,99,2026-03-13,進行中
2024-03-16,2026-05-29,33-60/北屯潭子/換屋父母(排除IG),inactive,8802,5526,,,5,471.4,actions:leadgen.other,2357,250,每日,486,5.521472,172,2026-03-16,進行中
2024-03-16,2026-05-29,33-60/北屯/傳產業務教育(排除IG),inactive,3155,2304,,,,,,845,400,每日,174,5.515055,59,2026-03-18,進行中
2024-03-16,2026-05-29,30-60/北屯東區中清/成家/親子教育(0322調,inactive,3237,2294,,1,1,981,actions:leadgen.other,981,250,每日,170,5.251776,69,2026-03-21,進行中
2024-03-16,2026-05-29,30-55/豐原潭子/雙薪首購族(0322調,inactive,3754,2652,,,1,911,actions:leadgen.other,911,250,每日,159,4.235482,60,2026-03-21,進行中
2024-03-16,2026-05-29,28-55/北屯潭子/室內裝修/年輕人興趣(0326調,inactive,21680,9815,,1,12,475.25,actions:leadgen.other,5703,250,每日,892,4.114391,362,2026-03-21,進行中
2024-03-16,2026-05-29,35-64/74沿線往逢甲/通勤/在地上班族(0326調,inactive,5129,3329,3,,1,1430,actions:leadgen.other,1430,250,每日,229,4.464808,94,2026-03-24,進行中
2024-03-16,2026-05-29,28-55/北屯2000以下再行銷,inactive,1140,904,,,,,,381,250,每日,41,3.596491,15,2026-03-24,進行中
2024-03-16,2026-05-29,33-65/北屯西屯/傳產/在地上班父母(0402+房產,inactive,4810,2835,,,1,1555,actions:leadgen.other,1555,250,每日,191,3.970894,64,2026-03-30,進行中
2024-03-16,2026-05-29,30-60/74沿線/諮商心理師/語言治療師,inactive,3326,2090,,,1,1278,actions:leadgen.other,1278,250,每日,124,3.728202,54,2026-03-31,進行中
2024-03-16,2026-05-29,27-54/十期/房地產/行動支付,inactive,2555,1857,,,,,,570,250,每日,79,3.091977,36,2026-03-31,進行中
2024-03-16,2026-05-29,35-65/潭子中清/傳產上班族FB,inactive,4521,2349,1,1,1,1319,actions:leadgen.other,1319,250,每日,216,4.777704,90,2026-03-31,進行中
2024-03-16,2026-05-29,"35-65 / 北屯 / 親子教育公務員(0411調",inactive,23953,9503,2,,14,467.78571429,actions:leadgen.other,6549,250,每日,1052,4.391934,867,2026-04-08,進行中
2024-03-16,2026-05-29,"35-65 / 東區太平 / 在地傳產自營商(0418調區域",inactive,24357,11678,1,1,14,477.71428571,actions:leadgen.other,6688,250,每日,1159,4.758386,571,2026-04-11,進行中
2024-03-16,2026-05-29,30-60/北屯潭子/換屋父母/房地產,inactive,4530,3294,,,2,598.5,actions:leadgen.other,1197,250,每日,206,4.547461,66,2026-04-24,進行中
2024-03-16,2026-05-29,32-60/洲際中清潭子/中小企業/博弈遊戲/數位貨幣,inactive,3998,2807,,,,,,1171,250,每日,190,4.752376,192,2026-04-24,進行中
2024-03-16,2026-05-29,"33-64 / 頭家厝北屯 / 業務傳產汽車-90D廣告互動(排除IG)",inactive,23824,11589,,,15,446.86666667,actions:leadgen.other,6703,200,每日,1068,4.482874,835,2026-04-29,進行中
2024-03-16,2026-05-29,"33-64 / 豐原潭子 / 純買房興趣(純FB)(0504調整投放區域",inactive,17181,9840,1,,8,590,actions:leadgen.other,4720,250,每日,875,5.092835,544,2026-04-29,進行中
2024-03-16,2026-05-29,"30-60 / 逢甲中科 / 科技/傳產/成家",inactive,6744,4236,,,2,1124.5,actions:leadgen.other,2249,250,每日,255,3.781139,82,2026-05-04,進行中
2024-03-16,2026-05-29,30-60/西屯北屯/醫師/美食/常飛國外/精品,inactive,2846,1917,,,1,1217,actions:leadgen.other,1217,250,每日,117,4.111033,48,2026-05-13,進行中
2024-03-16,2026-05-29,30-64/北屯西屯/出口貿易/科技產品-90D廣告互動(排除IG),inactive,3950,2800,1,,1,1416,actions:leadgen.other,1416,200,每日,159,4.025316,54,2026-05-15,進行中
2024-03-16,2026-05-29,"35-54 /西屯南屯北屯太平/ 換屋家庭",inactive,2662,1855,,,1,983,actions:leadgen.other,983,150,每日,105,3.944403,38,2026-05-18,進行中
2024-03-16,2026-05-29,"202508_景立方_高效速成_台中-教育從業者-1510 行銷活動 廣告組合",not_delivering,2796,1801,,,,,,738,200,每日,131,4.685265,50,2025-08-18,進行中
2024-03-16,2026-05-29,"202508_景立方_名單1510-高效速成-西屯北屯-金融業-行銷活動 廣告組合",not_delivering,4651,3063,1,,2,717,actions:leadgen.other,1434,200,每日,245,5.267684,117,2025-08-21,進行中
2024-03-16,2026-05-29,"202508_景立方_名單1510-高效速成-台中-高消費生活-行銷活動 廣告組合",not_delivering,5112,2776,5,,7,286.28571429,actions:leadgen.other,2004,200,每日,315,6.161972,199,2025-08-22,進行中
2024-03-16,2026-05-29,"202508_景立方_名單1510-高效速成-西屯北屯-體育相關-行銷活動 廣告組合",not_delivering,2421,1872,,,1,737,actions:leadgen.other,737,200,每日,101,4.17183,47,2025-08-28,進行中
2024-03-16,2026-05-29,"202509_景立方_名單1510-高效速成-西屯北區北屯-美髮美容相關-行銷活動 行銷活動 廣告組合",not_delivering,1170,1014,,,,,,413,200,每日,46,3.931624,12,2025-09-01,進行中
2024-03-16,2026-05-29,"202509_景立方_名單1510-高效速成-台中-汽車產業-行銷活動 廣告組合",not_delivering,5285,2835,4,,3,716,actions:leadgen.other,2148,200,每日,302,5.714286,72,2025-09-01,進行中
2024-03-16,2026-05-29,30-60/台中/1%+投資興趣,inactive,2783,1728,,,1,2068,actions:leadgen.other,2068,300,每日,133,4.779015,807,2025-09-03,進行中
2024-03-16,2026-05-29,30-60/台中/1%+收藏興趣,inactive,1240,875,,,,,,931,300,每日,73,5.887097,285,2025-09-03,進行中
2024-03-16,2026-05-29,"202509_景立方_名單1510-高效速成-西屯西區北區-珠寶設計 廣告組合",not_delivering,7944,4397,,,4,504.5,actions:leadgen.other,2018,200,每日,327,4.116314,110,2025-09-08,進行中
2024-03-16,2026-05-29,"202509_景立方_名單高校速成-北台中(1001 廣告組合",not_delivering,4813,3140,,,3,1105.33333333,actions:leadgen.other,3316,300,每日,102,2.11926,774,2025-09-22,進行中
2024-03-16,2026-05-29,"202509_景立方_高校速成_后科中科0925 廣告組合",not_delivering,2019,1392,,,,,,1147,250,每日,25,1.238237,198,2025-09-22,進行中
2024-03-16,2026-05-29,"202509_景立方_高校速成_食譜美容 廣告組合",not_delivering,1524,1190,,,,,,1168,250,每日,45,2.952756,243,2025-09-22,進行中
2024-03-16,2026-05-29,28-60/東區太平/自營商/成家/大學教授,inactive,2188,1584,,,,,,1032,400,每日,111,5.073126,610,2025-09-27,進行中
2024-03-16,2026-05-29,30-60/大台中/商業投資興趣,inactive,7441,4578,1,,5,773.6,actions:leadgen.other,3868,200,每日,309,4.152668,1539,2025-09-27,進行中
2024-03-16,2026-05-29,"28-65/北屯西屯嶺東/Uber eats/名牌精品/親子教育/百貨公司",inactive,2326,2121,,,,,,911,400,每日,74,3.181427,565,2025-09-27,進行中
2024-03-16,2026-05-29,33-60/豐原車站后科路/換屋需求/教育/投資/戶外活動,inactive,1950,1617,1,,,,,1018,400,每日,87,4.461538,594,2025-09-27,進行中
2024-03-16,2026-05-29,32-65/大台中/投資/銀行/股票/名錶,inactive,1254,967,,,1,792,actions:leadgen.other,792,400,每日,52,4.14673,280,2025-09-29,進行中
2024-03-16,2026-05-29,28-60/大台中/五金傳產/政治,inactive,1124,827,,,,,,789,400,每日,41,3.647687,155,2025-09-29,進行中
2024-03-16,2026-05-29,30-60/大台中/精算師興趣,inactive,3148,2264,1,,2,861.5,actions:leadgen.other,1723,200,每日,107,3.398983,708,2025-10-01,進行中
2024-03-16,2026-05-29,30-60/大台中/社交名流,inactive,8462,5511,1,,6,968,actions:leadgen.other,5808,250,每日,294,3.474356,2114,2025-10-01,進行中
2024-03-16,2026-05-29,32-55/北屯北區潭子/親子學區/雙薪換屋/通勤,inactive,2726,2009,,,,,,627,200,每日,102,3.741746,38,2026-05-22,進行中
2024-03-16,2026-05-29,35-60/太平東區/傳統批發/製造物流,inactive,1722,1216,,,,,,483,150,每日,93,5.400697,42,2026-05-22,進行中
2024-03-16,2026-05-29,30-55/北屯豐原潭子/公職/教師/親子,inactive,1030,850,,,,,,248,200,每日,40,3.883495,12,2026-05-25,進行中
2024-03-16,2026-05-29,35-60/太平北區東區/自營商/親子教育/精品,inactive,563,475,,,,,,200,150,每日,23,4.085258,4,2026-05-25,進行中
2024-03-16,2026-05-29,27-60/十期/行銷/小資族,inactive,376,312,,,,,,238,500,每日,22,5.851064,81,2025-10-08,進行中
2024-03-16,2026-05-29,27-60/西屯中科/銀行/精算師,inactive,501,473,,,,,,337,500,每日,8,1.596806,90,2025-10-08,進行中
2024-03-16,2026-05-29,35-55/西屯西區南區/政治/社會議題/投資,inactive,1916,1185,1,,1,1110,actions:leadgen.other,1110,250,每日,85,4.436326,450,2026-01-06,進行中
2024-03-16,2026-05-29,30-55/西屯北屯/高爾夫/精品/運動,inactive,901,601,,,,,,600,250,每日,29,3.218646,123,2026-01-06,進行中
