分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,not_delivering,307,294,,,,,,337,3000,總經費,6,1.954397,1.044218,116,2026-01-19,2026-01-30
2025-11-06,2026-06-01,1028_EP02(影片),inactive,501,459,,,,,,416,3000,總經費,13,2.59481,1.091503,152,2026-01-19,2026-01-30
2025-11-06,2026-06-01,1028_EP03片段1(影片),inactive,1641,1305,,,,,,826,300,每日,29,1.767215,1.257471,389,2026-03-18,進行中
2025-11-06,2026-06-01,1028_EP02片段1(影片),inactive,3,3,,,,,,0,300,每日,0,0,1,,2026-03-18,進行中
2025-11-06,2026-06-01,1028_EP03(影片)V2,inactive,571,464,,,,,,372,300,每日,12,2.101576,1.230603,117,2026-03-18,進行中
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,1245,1177,,,1,645,actions:leadgen.other,645,300,每日,17,1.365462,1.057774,198,2026-03-26,進行中
2025-11-06,2026-06-01,1028_EP03片段1(影片),inactive,6355,4560,,,5,671.8,actions:leadgen.other,3359,300,每日,121,1.904013,1.39364,1249,2026-03-26,進行中
2025-11-06,2026-06-01,0121_簡短版介紹(影片),inactive,854,547,,,1,369,actions:leadgen.other,369,300,每日,32,3.747073,1.561243,144,2026-03-26,進行中
2025-11-06,2026-06-01,0402_旗艦公設(影片),inactive,95,85,,,,,,144,300,每日,3,3.157895,1.117647,17,2026-03-26,進行中
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,2326,2069,,,,,,969,400,每日,52,2.235598,1.124215,420,2025-11-07,進行中
2025-11-06,2026-06-01,1028_EP03(影片),not_delivering,278,245,,,1,219,actions:leadgen.other,219,400,每日,10,3.597122,1.134694,51,2025-11-07,進行中
2025-11-06,2026-06-01,1028_不出門(影片),inactive,87,78,,,,,,59,400,每日,3,3.448276,1.115385,11,2025-11-13,進行中
2025-11-06,2026-06-01,1028_EP03(影片),inactive,671,646,,,,,,428,400,每日,13,1.937407,1.0387,108,2025-11-13,進行中
2025-11-06,2026-06-01,1114_生活有品味(影片),not_delivering,31,28,,,,,,20,3000,總經費,1,3.225806,1.107143,3,2025-11-25,2025-12-04
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,3479,3263,,,,,,1069,3000,總經費,53,1.523426,1.066197,651,2025-11-25,2025-12-04
2025-11-06,2026-06-01,1028_EP03(影片),not_delivering,525,449,,,,,,563,3000,總經費,10,1.904762,1.169265,111,2025-12-11,2025-12-21
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,6721,5744,1,1,4,609,actions:leadgen.other,2436,3000,總經費,113,1.681297,1.170091,1028,2025-12-11,2025-12-21
2025-11-06,2026-06-01,1028_EP02(影片),inactive,2117,1948,,,1,774,actions:leadgen.other,774,3000,總經費,38,1.794993,1.086756,429,2025-12-18,2025-12-31
2025-11-06,2026-06-01,1028_EP03(影片),not_delivering,961,847,,,,,,847,3000,總經費,37,3.850156,1.134593,273,2025-12-18,2025-12-31
2025-11-06,2026-06-01,1114_生活有品味(影片),not_delivering,1,1,,,,,,0,3000,總經費,0,0,1,,2025-12-18,2025-12-31
2025-11-06,2026-06-01,1222_千坪綠覆(影片),inactive,818,678,,,,,,415,3000,總經費,24,2.933985,1.20649,186,2025-12-18,2025-12-31
2025-11-06,2026-06-01,1028_EP03(影片)V2,not_delivering,151,136,,,,,,93,3000,總經費,4,2.649007,1.110294,26,2026-01-07,2026-01-18
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,not_delivering,822,747,,,,,,672,3000,總經費,17,2.068127,1.100402,172,2026-01-07,2026-01-18
2025-11-06,2026-06-01,0320_EP02片段2(影片),not_delivering,9,9,,,,,,4,300,每日,0,0,1,2,2026-04-10,進行中
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,1834,1612,,,1,752,actions:leadgen.other,752,300,每日,25,1.363141,1.137717,254,2026-04-10,進行中
2025-11-06,2026-06-01,0402_旗艦公設(影片),inactive,440,306,,,,,,375,300,每日,7,1.590909,1.437909,78,2026-04-10,進行中
2025-11-06,2026-06-01,1222_千坪綠覆(影片),not_delivering,949,823,,,,,,505,4500,總經費,27,2.8451,1.153098,241,2025-12-29,2026-01-19
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,not_delivering,267,240,,,,,,140,3000,總經費,4,1.498127,1.1125,40,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1028_EP03(影片)V2,not_delivering,1046,854,,,,,,750,3000,總經費,40,3.824092,1.224824,256,2026-01-22,2026-02-01
2025-11-06,2026-06-01,0121_簡短版介紹(影片),inactive,867,709,,,,,,788,3000,總經費,30,3.460208,1.222849,216,2026-01-22,2026-02-01
2025-11-06,2026-06-01,1028_EP03(影片)V2,not_delivering,923,822,,,3,293.66666667,actions:leadgen.other,881,7000,總經費,27,2.925244,1.122871,220,2026-01-29,2026-02-22
2025-11-06,2026-06-01,1028_EP02(影片),inactive,2030,1794,,,1,1670,actions:leadgen.other,1670,7000,總經費,49,2.413793,1.13155,449,2026-01-29,2026-02-22
2025-11-06,2026-06-01,0121_簡短版介紹(影片),not_delivering,420,342,,,,,,326,7000,總經費,22,5.238095,1.22807,146,2026-01-29,2026-02-22
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,inactive,1247,1115,,,1,1380,actions:leadgen.other,1380,7000,總經費,50,4.009623,1.118386,389,2026-01-29,2026-02-22
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,69,69,,,,,,27,3000,總經費,0,0,1,16,2026-02-09,2026-02-20
2025-11-06,2026-06-01,0121_簡短版介紹(影片),not_delivering,1273,1110,,,1,646,actions:leadgen.other,646,3000,總經費,36,2.827965,1.146847,294,2026-02-09,2026-02-20
2025-11-06,2026-06-01,1028_EP03(影片)V2,inactive,1254,1138,,,,,,696,3000,總經費,37,2.950558,1.101933,266,2026-02-09,2026-02-20
2025-11-06,2026-06-01,1028_EP03(影片)V2,not_delivering,2266,1842,,,2,769,actions:leadgen.other,1538,300,每日,70,3.089144,1.230185,459,2026-02-12,進行中
2025-11-06,2026-06-01,0121_簡短版介紹(影片),inactive,4174,2842,,1,2,1088.5,actions:leadgen.other,2177,300,每日,124,2.970771,1.468684,846,2026-02-12,進行中
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,inactive,1688,1410,,,,,,1098,300,每日,52,3.080569,1.197163,552,2026-02-12,進行中
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,1109,983,,,,,,436,300,每日,13,1.172227,1.128179,126,2026-02-12,進行中
2025-11-06,2026-06-01,1028_EP03(影片)V2,inactive,1749,1567,,,,,,848,300,每日,21,1.200686,1.116146,279,2026-02-13,進行中
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,1212,1126,,,,,,370,300,每日,10,0.825083,1.076377,113,2026-02-13,進行中
2025-11-06,2026-06-01,0121_簡短版介紹(影片),not_delivering,9,9,,,,,,2,300,每日,0,0,1,1,2026-02-13,進行中
2025-11-06,2026-06-01,0320_EP02片段2(影片),not_delivering,584,426,,,1,557,actions:leadgen.other,557,300,每日,16,2.739726,1.370892,100,2026-04-14,進行中
2025-11-06,2026-06-01,1028_EP02(影片),inactive,1412,1229,,,1,922,actions:leadgen.other,922,300,每日,28,1.983003,1.148902,221,2026-04-14,進行中
2025-11-06,2026-06-01,0416_旗艦公設第二版(影片),not_delivering,3455,1659,,,2,1270.5,actions:leadgen.other,2541,300,每日,105,3.039074,2.08258,605,2026-04-14,進行中
2025-11-06,2026-06-01,1222_千坪綠覆(影片),inactive,86,84,,,,,,66,3000,總經費,3,3.488372,1.02381,20,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1028_EP03(影片),inactive,221,210,,,,,,232,3000,總經費,2,0.904977,1.052381,42,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1222_千坪綠覆(影片),inactive,35,34,,,,,,49,3000,總經費,2,5.714286,1.029412,4,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1028_EP02(影片),not_delivering,811,747,,,,,,451,3000,總經費,18,2.219482,1.085676,155,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1028_EP03(影片)V2,not_delivering,169,161,,,,,,119,3000,總經費,6,3.550296,1.049689,27,2026-01-05,2026-01-16
2025-11-06,2026-06-01,1222_千坪綠覆(影片)V2,not_delivering,309,284,,,,,,291,3000,總經費,6,1.941748,1.088028,53,2026-01-05,2026-01-16
