分析報告開始,分析報告結束,廣告名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,1114_生活有品味(影片),,,1,321,actions:leadgen.other,321,10,3.154574,1.474419,2025-12-08,2025-12-20
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,1490,46,2.47578,1.174463,2025-12-08,2025-12-20
2025-10-28,2026-05-29,1028_EP02(影片),,,1,1087,actions:leadgen.other,1087,46,2.170835,1.130736,2025-12-08,2025-12-20
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,1847,64,4.822909,2.032159,2025-12-10,2025-12-30
2025-10-28,2026-05-29,1028_EP02(影片),1,,4,553.5,actions:leadgen.other,2214,128,4.102564,1.816065,2025-12-10,2025-12-30
2025-10-28,2026-05-29,1028_EP03(影片),1,,,,,646,22,3.034483,1.210351,2025-12-11,2025-12-21
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,1409,27,0.759067,1.094798,2025-12-11,2025-12-21
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,563,10,1.904762,1.169265,2025-12-11,2025-12-21
2025-10-28,2026-05-29,1028_EP02(影片),1,1,4,609,actions:leadgen.other,2436,113,1.681297,1.170091,2025-12-11,2025-12-21
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,336,7,1.832461,1.618644,2025-12-17,2025-12-28
2025-10-28,2026-05-29,1028_EP03(影片),,,1,1431,actions:leadgen.other,1431,26,1.484866,1.166556,2025-12-17,2025-12-28
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,1607,64,1.496376,1.138711,2025-12-17,2025-12-28
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,24,0,0,1.275862,2025-12-17,2025-12-28
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,155,7,5.072464,1.623529,2025-12-17,2025-12-28
2025-10-28,2026-05-29,1028_EP02(影片),,,1,725,actions:leadgen.other,725,58,3.310502,1.198358,2025-12-17,2025-12-28
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,589,16,3.076923,1.12069,2025-12-17,2025-12-28
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,637,18,3.680982,1.603279,2025-11-28,2025-12-07
2025-10-28,2026-05-29,1028_EP03(影片),,,1,967,actions:leadgen.other,967,36,3.035413,1.144788,2025-11-28,2025-12-07
2025-10-28,2026-05-29,1028_EP02(影片),1,,3,923,actions:leadgen.other,2769,132,2.313354,1.168066,2025-11-28,2025-12-17
2025-10-28,2026-05-29,1028_EP03(影片),,,1,1611,actions:leadgen.other,1611,50,2.482622,1.141076,2025-11-28,2025-12-17
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,309,4,1.37457,1.197531,2025-11-28,2025-12-17
2025-10-28,2026-05-29,1114_生活有品味(影片),,,9,379,actions:leadgen.other,3411,95,2.18894,2.145329,2025-11-28,2026-01-26
2025-10-28,2026-05-29,1028_EP03(影片),,,1,1661,actions:leadgen.other,1661,48,1.823708,1.108211,2025-11-28,2026-01-26
2025-10-28,2026-05-29,1028_EP02(影片),2,,2,1630,actions:leadgen.other,3260,175,1.660972,1.19334,2025-11-28,2026-01-26
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,432,23,2.836005,1.490809,2025-11-28,2025-12-07
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,1093,53,1.836452,1.101106,2025-11-28,2025-12-07
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,5,0,0,1,2025-11-28,2025-12-07
2025-10-28,2026-05-29,1028_EP03(影片),1,,,,,749,24,2.61723,1.130703,2025-12-02,2025-12-11
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,1108,18,1.197605,1.64442,2025-12-02,2025-12-11
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,632,13,1.285856,1.036923,2025-12-02,2025-12-11
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,1551,63,2.660473,1.158513,2025-12-02,2025-12-11
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,763,48,2.341463,1.089267,2025-12-02,2025-12-11
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,5,0,0,1.066667,2025-12-02,2025-12-11
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,34,2,2.272727,1.222222,2025-12-04,2025-12-14
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,1473,46,2.220077,1.081984,2025-12-04,2025-12-14
2025-10-28,2026-05-29,1028_EP02(影片),,,1,1424,actions:leadgen.other,1424,80,2.41473,1.14202,2025-12-04,2025-12-14
2025-10-28,2026-05-29,1028_EP03(影片),1,,,,,682,25,3.246753,1.106322,2025-12-04,2025-12-14
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,0,0,0,1,2025-12-04,2025-12-14
2025-10-28,2026-05-29,1028_EP03(影片),,,1,1227,actions:leadgen.other,1227,29,1.978172,1.068513,2025-12-08,2025-12-20
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,133,3,4.347826,1.112903,2025-12-08,2025-12-20
2025-10-28,2026-05-29,1028_EP03(影片),,,1,1437,actions:leadgen.other,1437,58,2.812803,1.09448,2025-11-20,2025-11-30
2025-10-28,2026-05-29,1028_不出門(影片),,,,,,405,14,3.271028,1.436242,2025-11-20,2025-11-30
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,0,0,0,1,2025-11-20,2025-11-30
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,168,3,0.898204,1.009063,2025-11-21,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,453,8,1.762115,1.371601,2025-11-21,進行中
2025-10-28,2026-05-29,1028_EP02(影片),1,,1,1091,actions:leadgen.other,1091,47,1.306281,1.055132,2025-11-21,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,496,23,3.945111,1.432432,2025-11-21,進行中
2025-10-28,2026-05-29,1028_EP02(影片),,,1,828,actions:leadgen.other,828,55,4.306969,1.190121,2025-11-21,進行中
2025-10-28,2026-05-29,1028_EP02(影片),2,1,,,,401,13,1.289683,1.066667,2025-11-24,2025-12-03
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,124,1,0.854701,1.147059,2025-11-24,2025-12-03
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,808,29,2.084831,1.079969,2025-11-24,2025-12-03
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,856,36,1.329394,1.03914,2025-11-24,2025-12-03
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,500,13,1.931649,1.237132,2025-11-24,2025-12-03
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,0,0,0,1,2025-11-24,2025-12-03
2025-10-28,2026-05-29,1028_EP02(影片),2,1,1,1364,actions:leadgen.other,1364,74,2.364217,1.109142,2025-11-25,2025-12-04
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,3,0,0,1,2025-11-25,2025-12-04
2025-10-28,2026-05-29,1028_EP03(影片),,,1,1521,actions:leadgen.other,1521,55,2.13261,1.127185,2025-11-25,2025-12-04
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,20,1,3.225806,1.107143,2025-11-25,2025-12-04
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,1069,53,1.523426,1.066197,2025-11-25,2025-12-04
2025-10-28,2026-05-29,1028_EP02(影片),1,1,11,696,actions:leadgen.other,7656,392,1.967476,1.326145,2025-11-26,2026-04-24
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,255,6,2.553191,1.119048,2025-11-26,2026-04-24
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,163,14,8.917197,1.068027,2025-11-28,2025-12-07
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,219,2,1.136364,1.106918,2025-11-10,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,446,14,1.635514,1.350158,2025-11-13,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),2,,3,688.66666667,actions:leadgen.other,2066,75,3.168568,2.063644,2025-10-28,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,772,22,2.251791,1.397711,2025-11-10,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,1,322,actions:leadgen.other,322,11,3.072626,1.278571,2025-11-10,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,884,23,1.94421,1.423586,2025-11-06,進行中
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,692,34,3.578947,1.637931,2025-11-16,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,1530,61,2.869238,1.168132,2025-11-16,2025-11-26
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,259,8,2.622951,1.349558,2025-11-16,2025-11-26
2025-10-28,2026-05-29,1028_EP02(影片),,,,,,901,108,4.59379,1.048617,2025-11-16,進行中
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,819,30,2.227171,1.040154,2025-11-20,2025-11-30
2025-10-28,2026-05-29,1114_生活有品味(影片),,,,,,21,1,1.724138,1.16,2025-11-20,2025-11-30
2025-10-28,2026-05-29,1028_EP02(影片),,,2,983,actions:leadgen.other,1966,97,1.110729,1.153633,2025-11-20,2025-11-30
2025-10-28,2026-05-29,1028_EP02(影片),1,,1,1328,actions:leadgen.other,1328,75,1.15066,1.083264,2025-11-20,2025-11-30
2025-10-28,2026-05-29,1028_EP03(影片),,,,,,286,6,2.013423,1.11194,2025-11-20,2025-11-30
