分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2024-03-16,2026-06-03,28-55/74沿線/1%+旅遊興趣-1510,inactive,1500,1109,,,,,,522,300,每日,43,0.4,1.35257,2025-09-22,進行中
2024-03-16,2026-06-03,"27-55/北屯潭子/ 年輕人興趣-1510",inactive,2175,1857,1,,,,,779,300,每日,47,0.689655,1.171244,2025-09-27,進行中
2024-03-16,2026-06-03,28-60/正北屯+8K/投資置產/雙語教育/高收興趣-1510,inactive,2055,1747,,,1,765,actions:leadgen.other,765,300,每日,66,1.021898,1.176302,2025-09-27,進行中
2024-03-16,2026-06-03,28-60/西屯南屯/1%+遊戲開發-1510,inactive,1929,1523,,,,,,657,300,每日,49,0.829445,1.266579,2025-09-30,進行中
2024-03-16,2026-06-03,28-60/74沿線-北屯/1%+數據分析-1510,inactive,2054,1541,,,1,682,actions:leadgen.other,682,300,每日,76,0.584226,1.332901,2025-09-30,進行中
2024-03-16,2026-06-03,30-55/中彰國1沿線/傳產/工廠/成家,inactive,801,625,,,,,,496,2000,總經費,20,0.998752,1.2816,2025-01-14,2025-01-23
2024-03-16,2026-06-03,33-65/南屯烏日彰化/名車/夜生活/精品-1510,inactive,21675,9696,2,,11,557.81818182,actions:leadgen.other,6136,7200,總經費,758,0.7797,2.235458,2025-01-15,2025-03-31
2024-03-16,2026-06-03,台中區域再行銷,inactive,4798,1586,,,1,2765,actions:leadgen.other,2765,4600,總經費,151,0.708629,3.025221,2025-01-16,2025-02-28
2024-03-16,2026-06-03,30-60/烏日豐原水湳/工程師/國外旅遊/電玩/教育,inactive,7731,3289,1,,1,4153,actions:leadgen.other,4153,8000,總經費,144,0.776096,2.350562,2025-01-21,2025-02-28
2024-03-16,2026-06-03,30-60/烏日中科豐原彰化/工程師/國外旅遊/收藏/名車,inactive,1263,816,,,,,,602,4000,總經費,19,0.633413,1.547794,2025-02-05,2025-02-28
2024-03-16,2026-06-03,"32-65/南區 大雅 豐原/個人事業 經濟科技日語喜好(0305調)",inactive,4658,2616,,,5,671.2,actions:leadgen.other,3356,8500,總經費,175,1.416917,1.780581,2025-02-08,2025-03-31
2024-03-16,2026-06-03,35-60/西屯北屯/自由業/SOHO族/電商(0217調)-1510,inactive,9898,4934,6,2,6,366.5,actions:leadgen.other,2199,3000,總經費,513,1.040614,2.00608,2025-02-11,2025-03-31
2024-03-16,2026-06-03,28-55/西屯區/前端工程師/投資理財-1510,inactive,3331,2184,1,,1,631,actions:leadgen.other,631,2000,總經費,91,0.780546,1.525183,2025-02-12,2025-02-28
2024-03-16,2026-06-03,30-60/后科豐原/工程師/國外旅遊/棒球/名車,inactive,963,548,,,,,,360,1840,總經費,21,0.311526,1.757299,2025-02-18,2025-02-28
2024-03-16,2026-06-03,35-65/74沿線/傳產老闆/自營商/醫生/投資興趣-1510,inactive,5666,3075,2,2,5,483.6,actions:leadgen.other,2418,5300,總經費,314,0.864808,1.842602,2025-02-18,2025-04-30
2024-03-16,2026-06-03,大台中再行銷,inactive,2135,1169,,,1,1337,actions:leadgen.other,1337,1500,總經費,61,0.655738,1.826347,2025-02-20,2025-02-28
