分析報告開始,分析報告結束,廣告名稱,廣告投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,278,253,,,,,,40,300,每日,6,2.158273,1.098814,2026-05-04,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,1479,1322,,,,,,230,300,每日,43,2.90737,1.118759,2026-05-04,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,not_delivering,1246,1159,1,,,,,313,300,每日,43,3.451043,1.075065,2026-05-04,進行中
2026-04-09,2026-07-21,0515_AI影片V2,inactive,603,529,,,,,,208,300,每日,24,3.9801,1.139887,2026-05-19,進行中
2026-04-09,2026-07-21,0424_南興角地V2,not_delivering,9286,7276,,,4,392.75,actions:leadgen.other,1571,300,每日,260,2.799914,1.276251,2026-05-19,進行中
2026-04-09,2026-07-21,0507_黑馬A版,inactive,1046,948,,,,,,188,300,每日,24,2.294455,1.103376,2026-05-19,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,2440,2188,2,,1,596,actions:leadgen.other,596,300,每日,84,3.442623,1.115174,2026-05-19,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,1998,1698,,,1,376,actions:leadgen.other,376,300,每日,59,2.952953,1.176678,2026-05-19,進行中
2026-04-09,2026-07-21,0522_北屯表參道A版,not_delivering,441,385,,,,,,91,300,每日,5,1.133787,1.145455,2026-05-19,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,3,3,,,,,,0,300,每日,0,0,1,2026-05-19,進行中
2026-04-09,2026-07-21,0522_北屯表參道B版,not_delivering,3331,2592,,,1,743,actions:leadgen.other,743,300,每日,64,1.921345,1.285108,2026-05-22,進行中
2026-04-09,2026-07-21,0515_AI影片V2,not_delivering,72,66,,,,,,12,300,每日,2,2.777778,1.090909,2026-05-23,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,1363,1297,,,,,,265,300,每日,44,3.228173,1.050887,2026-05-20,進行中
2026-04-09,2026-07-21,0508_黑馬B版,not_delivering,918,846,,,,,,171,300,每日,24,2.614379,1.085106,2026-05-20,進行中
2026-04-09,2026-07-21,0512_雙捷運,not_delivering,357,310,,,,,,114,300,每日,4,1.120448,1.151613,2026-05-20,進行中
2026-04-09,2026-07-21,0518_好市多森活圈,not_delivering,73,69,,,,,,15,300,每日,0,0,1.057971,2026-05-20,進行中
2026-04-09,2026-07-21,0410_訂簽68萬,inactive,895,852,,,,,,137,300,每日,25,2.793296,1.050469,2026-05-20,進行中
