0410_訂簽68萬 | spend=313 leads=None cpl=None ctr=3.451043 clicks=43.0 freq=1.075065 start=2026-05-04 end=進行中
0515_AI影片V2 | spend=208 leads=None cpl=None ctr=3.9801 clicks=24.0 freq=1.139887 start=2026-05-19 end=進行中
0507_黑馬A版 | spend=188 leads=None cpl=None ctr=2.294455 clicks=24.0 freq=1.103376 start=2026-05-19 end=進行中
0522_北屯表參道A版 | spend=91 leads=None cpl=None ctr=1.133787 clicks=5.0 freq=1.145455 start=2026-05-19 end=進行中
0508_黑馬B版 | spend=0 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-05-19 end=進行中
0515_AI影片V2 | spend=12 leads=None cpl=None ctr=2.777778 clicks=2.0 freq=1.090909 start=2026-05-23 end=進行中
0410_訂簽68萬 | spend=265 leads=None cpl=None ctr=3.228173 clicks=44.0 freq=1.050887 start=2026-05-20 end=進行中
0508_黑馬B版 | spend=171 leads=None cpl=None ctr=2.614379 clicks=24.0 freq=1.085106 start=2026-05-20 end=進行中
0512_雙捷運 | spend=114 leads=None cpl=None ctr=1.120448 clicks=4.0 freq=1.151613 start=2026-05-20 end=進行中
0518_好市多森活圈 | spend=15 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.057971 start=2026-05-20 end=進行中
0410_訂簽68萬 | spend=137 leads=None cpl=None ctr=2.793296 clicks=25.0 freq=1.050469 start=2026-05-20 end=進行中
0508_黑馬B版 | spend=163 leads=None cpl=None ctr=2.145411 clicks=18.0 freq=1.085382 start=2026-05-22 end=進行中
0515_AI影片V2 | spend=1 leads=None cpl=None ctr=5.555556 clicks=1.0 freq=1.058824 start=2026-05-22 end=進行中
0424_南興角地V2 | spend=552 leads=None cpl=None ctr=2.623069 clicks=73.0 freq=1.416285 start=2026-05-23 end=進行中
0522_北屯表參道B版 | spend=88 leads=None cpl=None ctr=4.722222 clicks=17.0 freq=1.434263 start=2026-05-23 end=進行中
20260707_先享受 | spend=2 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.277778 start=2026-07-01 end=進行中
20260612_雙面煦光 | spend=2 leads=None cpl=None ctr=0.0 clicks=0.0 freq=1.0 start=2026-06-12 end=進行中
0508_黑馬B版 | spend=263 leads=None cpl=None ctr=2.50184 clicks=34.0 freq=1.205856 start=2026-07-01 end=進行中
0410_訂簽68萬 | spend=232 leads=None cpl=None ctr=3.730445 clicks=31.0 freq=1.172073 start=2026-07-01 end=進行中
0522_北屯表參道B版 | spend=43 leads=None cpl=None ctr=1.869159 clicks=4.0 freq=1.202247 start=2026-07-01 end=進行中
0424_南興角地V2 | spend=427 leads=None cpl=None ctr=3.340858 clicks=74.0 freq=1.168249 start=2026-07-01 end=進行中
0508_黑馬B版 | spend=18 leads=None cpl=None ctr=2.919708 clicks=4.0 freq=1.087302 start=2026-07-01 end=進行中
