分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2023-06-09,2026-07-09,"30-60 / 梧棲沙鹿西屯 / 寵物相關",inactive,1497,1177,,,,,,1169,200,每日,35,1.068804,1.271878,2025-08-19,進行中
2023-06-09,2026-07-09,"28-60 / 沙鹿東海中科 / 高知識產業",inactive,28776,10513,1,1,8,585.5,actions:leadgen.other,4684,450,每日,641,0.587295,2.737183,2025-07-12,進行中
2023-06-09,2026-07-09,"28-60 / 沙鹿 / 護理人員",inactive,6291,3795,,,,,,1168,300,每日,132,0.635829,1.657708,2025-07-18,進行中
2023-06-09,2026-07-09,40-65/清水梧棲沙鹿/父母買房給孩子,inactive,4215,2282,1,,1,1187,actions:leadgen.other,1187,200,每日,122,0.688019,1.847064,2025-10-01,進行中
2023-06-09,2026-07-09,"30-60 / 沙鹿龍井伸港 / 上班族 / 家具設計(1201微調)",not_delivering,21799,7275,30,24,20,197.15,actions:leadgen.other,3943,200,每日,1943,2.738658,2.996426,2025-11-06,2025-12-05
2023-06-09,2026-07-09,"30-60 / 沙鹿 / 直銷業務",inactive,4026,2610,,,,,,1038,250,每日,148,1.36612,1.542529,2026-01-15,進行中
2023-06-09,2026-07-09,30-55/沙鹿中科/工程師興趣,inactive,1358,807,,1,1,,,507,250,每日,23,0.662739,1.682776,2026-03-03,2026-03-31
2023-06-09,2026-07-09,"30-55 / 沙鹿清水中科 / 雙薪成家首購+1%",inactive,6365,3103,,,2,1491,actions:leadgen.other,2982,250,每日,163,1.099764,2.051241,2026-04-02,進行中
2023-06-09,2026-07-09,"30-55 / 沙鹿梧棲中科 / 科技業生活興趣",inactive,2534,1756,,,1,1734,actions:leadgen.other,1734,250,每日,68,1.223362,1.443052,2026-04-15,進行中
2023-06-09,2026-07-09,28-65/沙鹿榮總/醫療業(排除IG,inactive,441,320,,,,,,218,170,每日,19,1.587302,1.378125,2026-06-15,進行中
