分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（全部）,頻率,粉絲專頁互動,開始,結束時間
2025-10-28,2026-06-01,"28-55 / 豐原潭子中科 ／ 科技自營商L",inactive,4386,4052,1,,1,1712,actions:leadgen.other,1712,400,每日,58,1.322389,1.082428,737,2025-11-21,進行中
2025-10-28,2026-06-01,"景創富美圖再行銷 / 原潮APT",inactive,1860,1341,,,1,1324,actions:leadgen.other,1324,300,每日,78,4.193548,1.387025,503,2025-11-21,進行中
2025-10-28,2026-06-01,"25-55 / 西屯中科 / 傳產興趣(1118調區域)",inactive,2431,2019,,,,,,1789,4000,總經費,69,2.838338,1.204061,535,2025-11-16,2025-11-26
2025-10-28,2026-06-01,"28-55 / 74沿線 / 行銷設計",inactive,10138,8609,,,2,1403,actions:leadgen.other,2806,3000,總經費,128,1.262576,1.177605,1489,2025-11-20,2025-11-30
2025-10-28,2026-06-01,"28-55 / 74沿線 / 業務金融興趣",inactive,6816,6251,1,,1,1614,actions:leadgen.other,1614,4000,總經費,81,1.18838,1.090386,1031,2025-11-20,2025-11-30
2025-10-28,2026-06-01,"30-60 / 豐原潭子靜宜 / 家庭主婦興趣 / 排除IG",inactive,2493,2129,,,1,1842,actions:leadgen.other,1842,4000,總經費,72,2.888087,1.170972,595,2025-11-20,2025-11-30
2025-10-28,2026-06-01,"35-50 / 北屯太平潭子 / 上班族首購",inactive,2516,2340,2,1,,,,1333,3000,總經費,43,1.709062,1.075214,500,2025-11-24,2025-12-03
2025-10-28,2026-06-01,"40-55 / 北屯西屯南屯 / 服務業機能取向",inactive,3383,3093,,,,,,1356,3000,總經費,49,1.448419,1.09376,518,2025-11-24,2025-12-03
2025-10-28,2026-06-01,"30-45 / 洲際+5K / 店長人資 / 連鎖創業",inactive,5719,4749,2,1,2,1444,actions:leadgen.other,2888,3000,總經費,129,2.255639,1.204254,1025,2025-11-25,2025-12-04
2025-10-28,2026-06-01,"35-50 / 洲際+5K / 業務高收入",inactive,3510,3292,,,,,,1089,3000,總經費,54,1.538462,1.066221,654,2025-11-25,2025-12-04
2025-10-28,2026-06-01,"35-60 / 西屯北屯 / 長輩置產(排除IG)",inactive,1832,1400,,,1,1767,actions:leadgen.other,1767,3000,總經費,68,3.71179,1.308571,460,2025-11-28,2025-12-07
2025-10-28,2026-06-01,"30-50 / 西屯北屯潭子 / 美食旅遊興趣",inactive,8011,6483,1,,4,1172.25,actions:leadgen.other,4689,6000,總經費,186,2.321808,1.235693,1672,2025-11-28,2025-12-17
2025-10-28,2026-06-01,"27-45 / 中科西屯中清 / 財務會計",inactive,3699,3080,,,,,,1530,3000,總經費,76,2.054609,1.200974,601,2025-11-28,2025-12-07
2025-10-28,2026-06-01,"27-45 / 西區水湳洲際 / 科技業族群(1205調地點)",inactive,3431,2429,1,,,,,2489,3000,總經費,55,1.603031,1.412515,505,2025-12-02,2025-12-11
2025-10-28,2026-06-01,"30-45 / 74沿線 / 在地自營傳產(1205調地點)",inactive,4434,3855,,,,,,2319,3000,總經費,111,2.503383,1.150195,789,2025-12-02,2025-12-11
2025-10-28,2026-06-01,"30-50 / 北區北屯西屯 / 生活面向",inactive,2160,1967,,,,,,1507,3000,總經費,48,2.222222,1.098119,444,2025-12-04,2025-12-14
2025-10-28,2026-06-01,"27-45 / 西區北區洲際 / 商務興趣",inactive,4084,3546,1,,1,2106,actions:leadgen.other,2106,3000,總經費,105,2.571009,1.15172,704,2025-12-04,2025-12-14
2025-10-28,2026-06-01,"27-45/ 東區北區洲際 / 年輕藝文興趣(16-2點)",inactive,4842,4337,,,4,626.25,actions:leadgen.other,2505,3000,總經費,90,1.858736,1.11644,756,2025-12-08,2025-12-20
2025-10-28,2026-06-01,"35-60 / 潭子北屯太平 / 退休健康保健",inactive,3086,2522,2,,1,2705,actions:leadgen.other,2705,3000,總經費,99,3.208036,1.223632,922,2025-12-08,2025-12-20
2025-10-28,2026-06-01,"27-50 / 南區東區大里 / 時事興趣(1217調地點)",inactive,4294,3449,,,2,1449,actions:leadgen.other,2898,3000,總經費,102,2.375408,1.244999,896,2025-12-08,2025-12-20
2025-10-28,2026-06-01,"28-45 / 西區北區北屯 / 教育享樂",inactive,4282,3742,1,,,,,2055,3000,總經費,49,1.144325,1.144308,693,2025-12-11,2025-12-21
2025-10-28,2026-06-01,"28-45 / 中區北區洲際 / 社交網路娛樂(1217調地點)",inactive,7246,6068,1,1,4,749.75,actions:leadgen.other,2999,3000,總經費,123,1.697488,1.194133,1139,2025-12-11,2025-12-21
2025-10-28,2026-06-01,"27-45 / 北區北屯洲際 / 外語私校教育",inactive,2133,1666,,,1,1767,actions:leadgen.other,1767,3000,總經費,33,1.547117,1.280312,333,2025-12-17,2025-12-28
2025-10-28,2026-06-01,"30-50 / 西區西屯 / 博弈貸款業",inactive,4314,3777,,,,,,1631,3000,總經費,64,1.483542,1.142176,697,2025-12-17,2025-12-28
2025-10-28,2026-06-01,"27-55 / 十期 / 裝潢零售業",inactive,1223,995,,,,,,694,300,每日,21,1.717089,1.229146,173,2026-01-05,進行中
2025-10-28,2026-06-01,"28-55 / 74沿線 /  傳產家庭",inactive,1647,1456,,,,,,1212,200,每日,29,1.760777,1.131181,315,2026-01-07,進行中
2025-10-28,2026-06-01,"再行銷 / 原潮APT",inactive,5686,2478,,,4,1097,actions:leadgen.other,4388,200,每日,208,3.658108,2.294592,1652,2026-03-04,進行中
2025-10-28,2026-06-01,"27-45/ 東區北區洲際 / 小家庭自營商",inactive,22484,14654,2,,14,811.14285714,actions:leadgen.other,11356,13000,總經費,414,1.841309,1.534325,3630,2025-11-28,2026-01-26
2025-10-28,2026-06-01,"再行銷 / 原潮APT(1217換粉專)",inactive,4447,1907,1,,4,1015.25,actions:leadgen.other,4061,6000,總經費,192,4.317517,2.331935,1061,2025-12-10,2025-12-30
2025-10-28,2026-06-01,25-55/北區東區/在地上班族,inactive,2410,1859,,,1,1469,actions:leadgen.other,1469,3000,總經費,81,3.360996,1.296396,586,2025-12-17,2025-12-28
2025-10-28,2026-06-01,28-50/沙鹿中科豐原/民俗興趣/傳統宗教(12/31改地點刪海線加北屯太平),inactive,5657,4272,,,4,856.75,actions:leadgen.other,3427,4500,總經費,98,1.732367,1.324204,1033,2025-12-18,2026-01-08
2025-10-28,2026-06-01,30-60/大台中/社交名流,inactive,3897,3269,,,1,2036,actions:leadgen.other,2036,3000,總經費,99,2.540416,1.192108,888,2025-12-18,2025-12-31
2025-10-28,2026-06-01,30-60/大台中/出國旅遊,inactive,5490,4786,,,3,939.66666667,actions:leadgen.other,2819,4500,總經費,158,2.87796,1.147096,1300,2025-12-18,2026-01-08
2025-10-28,2026-06-01,30-60/西屯北屯南屯/醫生興趣(1231改地點加太平刪南屯),inactive,1849,1535,,,2,847.5,actions:leadgen.other,1695,2500,總經費,62,3.353164,1.20456,442,2025-12-26,2026-01-08
2025-10-28,2026-06-01,30-60/潭子北屯太平/民俗傳統,inactive,949,823,,,,,,505,4500,總經費,27,2.8451,1.153098,241,2025-12-29,2026-01-19
2025-10-28,2026-06-01,30-60/潭子北屯太平/金融興趣,inactive,986,925,,,,,,487,4500,總經費,33,3.346856,1.065946,270,2025-12-31,2026-01-21
2025-10-28,2026-06-01,"28-55 / 逢甲中科 / 科技男興趣",inactive,1145,967,,,1,1314,actions:leadgen.other,1314,4000,總經費,32,2.79476,1.184074,287,2026-01-02,2026-01-13
2025-10-28,2026-06-01,"28-55 / 台中市區 / 1%+房產",inactive,1424,1141,,,,,,1183,3000,總經費,43,3.019663,1.248028,319,2026-01-09,2026-01-20
2025-10-28,2026-06-01,"28-55 / 東區北區洲際 / 年輕夜生活",inactive,3466,2969,,,1,2031,actions:leadgen.other,2031,3000,總經費,81,2.336988,1.167396,649,2026-01-09,2026-01-20
2025-10-28,2026-06-01,"28-55 / 北屯太平潭子 / 傳產加工業",inactive,2593,2379,,,1,1864,actions:leadgen.other,1864,3000,總經費,68,2.622445,1.089954,535,2026-01-09,2026-01-20
2025-10-28,2026-06-01,"28-55 / 北屯太平潭子 / 外語藝文教育",inactive,3435,3011,,,2,893.5,actions:leadgen.other,1787,3000,總經費,88,2.561863,1.140817,650,2026-01-09,2026-01-20
2025-10-28,2026-06-01,"28-55 / 台中市區 / 金融時事媒體",inactive,3296,2969,1,,1,1753,actions:leadgen.other,1753,3000,總經費,72,2.184466,1.110138,649,2026-01-09,2026-01-20
2025-10-28,2026-06-01,"28-45 / 北屯北區東區 / 製造業戶外運動",inactive,1437,1333,,,1,1092,actions:leadgen.other,1092,3000,總經費,39,2.713987,1.07802,303,2026-01-12,2026-01-23
2025-10-28,2026-06-01,"30-60 /  北屯北區東區 / 建築工業裝潢",inactive,1541,1378,,,,,,729,3000,總經費,33,2.141467,1.118287,330,2026-01-12,2026-01-23
2025-10-28,2026-06-01,"30-60 /  北屯洲際 / 私校藝文教育",inactive,2658,2296,2,,,,,1798,3000,總經費,83,3.122649,1.157666,741,2026-01-14,2026-01-25
2025-10-28,2026-06-01,"28-55 / 潭子 / 加工出口(17-02)",inactive,2819,2570,2,,,,,1564,3000,總經費,55,1.951046,1.096887,538,2026-01-14,2026-01-25
2025-10-28,2026-06-01,"28-55 / 西屯水湳 / 金融業(17-02)",inactive,3973,3514,1,,2,996.5,actions:leadgen.other,1993,3000,總經費,60,1.510194,1.13062,695,2026-01-14,2026-01-25
2025-10-28,2026-06-01,"30-45 /  北區中區 / 服務業自營商",inactive,3013,2587,1,,,,,1481,3000,總經費,94,3.119814,1.16467,769,2026-01-15,2026-01-26
2025-10-28,2026-06-01,"30-60 / 太平東區 / 技術型職業",inactive,2752,2224,,,,,,1430,3000,總經費,106,3.851744,1.23741,770,2026-01-15,2026-01-26
2025-10-28,2026-06-01,"35-60 / 北屯 / 長輩置產(FB)",inactive,2202,1875,,,,,,1612,3000,總經費,90,4.087193,1.1744,680,2026-01-15,2026-01-26
2025-10-28,2026-06-01,"28-55 / 北屯 / 通勤上班族",inactive,957,834,,,,,,817,3000,總經費,18,1.880878,1.147482,184,2026-01-19,2026-01-30
2025-10-28,2026-06-01,"30-60 / 太平東區 / 公教職",inactive,1164,943,,,,,,711,3000,總經費,39,3.350515,1.234358,306,2026-01-19,2026-01-30
2025-10-28,2026-06-01,"27-55 / 中區北區洲際 / 跑咖追星出國2.0",inactive,21674,16275,1,1,11,814.90909091,actions:leadgen.other,8964,11000,總經費,425,1.960875,1.331736,3640,2025-11-26,2026-04-24
2025-10-28,2026-06-01,"28-45 /  北區西區 / 百貨業",inactive,868,760,,,,,,635,3000,總經費,15,1.728111,1.142105,163,2026-01-19,2026-01-30
2025-10-28,2026-06-01,"35-60 / 北屯太平 / 學區家長興趣",inactive,861,782,,,,,,847,3000,總經費,21,2.439024,1.101023,279,2026-01-19,2026-01-30
2025-10-28,2026-06-01,"28-45/ 北屯潭子/ 在地成家",inactive,10,9,,,,,,7,3000,總經費,1,10,1.111111,4,2026-01-21,2026-02-01
2025-10-28,2026-06-01,"40-65/ 北屯潭子/ 退休客群(排除IG)",inactive,3,3,,,,,,1,3000,總經費,0,0,1,,2026-01-21,2026-02-01
2025-10-28,2026-06-01,"33-58/ 東區大里/ 在地家庭主婦(純女)",inactive,1,1,,,,,,0,3000,總經費,0,0,1,,2026-01-21,2026-02-01
