分析報告開始,分析報告結束,廣告組合名稱,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",點擊次數（全部）,CTR（全部）,頻率,開始,結束時間
2025-10-28,2026-05-29,"30-50 / 西區西屯 / 博弈貸款業",,,,,,1631,64,1.483542,1.142176,2025-12-17,2025-12-28
2025-10-28,2026-05-29,25-55/北區東區/在地上班族,,,1,1469,actions:leadgen.other,1469,81,3.360996,1.296396,2025-12-17,2025-12-28
2025-10-28,2026-05-29,28-50/沙鹿中科豐原/民俗興趣/傳統宗教(12/31改地點刪海線加北屯太平),,,4,856.75,actions:leadgen.other,3427,98,1.732367,1.324204,2025-12-18,2026-01-08
2025-10-28,2026-05-29,30-60/大台中/社交名流,,,1,2036,actions:leadgen.other,2036,99,2.540416,1.192108,2025-12-18,2025-12-31
2025-10-28,2026-05-29,30-60/大台中/出國旅遊,,,3,939.66666667,actions:leadgen.other,2819,158,2.87796,1.147096,2025-12-18,2026-01-08
2025-10-28,2026-05-29,30-60/西屯北屯南屯/醫生興趣(1231改地點加太平刪南屯),,,2,847.5,actions:leadgen.other,1695,62,3.353164,1.20456,2025-12-26,2026-01-08
2025-10-28,2026-05-29,"28-55 / 逢甲中科 / 科技男興趣",,,1,1314,actions:leadgen.other,1314,32,2.79476,1.184074,2026-01-02,2026-01-13
2025-10-28,2026-05-29,"27-45/ 東區北區洲際 / 小家庭自營商",2,,14,811.14285714,actions:leadgen.other,11356,414,1.841309,1.534325,2025-11-28,2026-01-26
2025-10-28,2026-05-29,30-60/潭子北屯太平/民俗傳統,,,,,,505,27,2.8451,1.153098,2025-12-29,2026-01-19
2025-10-28,2026-05-29,30-60/潭子北屯太平/金融興趣,,,,,,487,33,3.346856,1.065946,2025-12-31,2026-01-21
2025-10-28,2026-05-29,"28-55 / 台中市區 / 1%+房產",,,,,,1183,43,3.019663,1.248028,2026-01-09,2026-01-20
2025-10-28,2026-05-29,"28-55 / 東區北區洲際 / 年輕夜生活",,,1,2031,actions:leadgen.other,2031,81,2.336988,1.167396,2026-01-09,2026-01-20
2025-10-28,2026-05-29,"28-55 / 北屯太平潭子 / 傳產加工業",,,1,1864,actions:leadgen.other,1864,68,2.622445,1.089954,2026-01-09,2026-01-20
2025-10-28,2026-05-29,"28-55 / 北屯太平潭子 / 外語藝文教育",,,2,893.5,actions:leadgen.other,1787,88,2.561863,1.140817,2026-01-09,2026-01-20
2025-10-28,2026-05-29,"28-55 / 台中市區 / 金融時事媒體",1,,1,1753,actions:leadgen.other,1753,72,2.184466,1.110138,2026-01-09,2026-01-20
2025-10-28,2026-05-29,"28-45 / 北屯北區東區 / 製造業戶外運動",,,1,1092,actions:leadgen.other,1092,39,2.713987,1.07802,2026-01-12,2026-01-23
2025-10-28,2026-05-29,"30-60 /  北屯北區東區 / 建築工業裝潢",,,,,,729,33,2.141467,1.118287,2026-01-12,2026-01-23
2025-10-28,2026-05-29,"30-60 /  北屯洲際 / 私校藝文教育",2,,,,,1798,83,3.122649,1.157666,2026-01-14,2026-01-25
2025-10-28,2026-05-29,"28-55 / 潭子 / 加工出口(17-02)",2,,,,,1564,55,1.951046,1.096887,2026-01-14,2026-01-25
2025-10-28,2026-05-29,"28-55 / 西屯水湳 / 金融業(17-02)",1,,2,996.5,actions:leadgen.other,1993,60,1.510194,1.13062,2026-01-14,2026-01-25
2025-10-28,2026-05-29,"30-45 /  北區中區 / 服務業自營商",1,,,,,1481,94,3.119814,1.16467,2026-01-15,2026-01-26
2025-10-28,2026-05-29,"30-60 / 太平東區 / 技術型職業",,,,,,1430,106,3.851744,1.23741,2026-01-15,2026-01-26
2025-10-28,2026-05-29,"35-60 / 北屯 / 長輩置產(FB)",,,,,,1612,90,4.087193,1.1744,2026-01-15,2026-01-26
2025-10-28,2026-05-29,"28-55 / 北屯 / 通勤上班族",,,,,,817,18,1.880878,1.147482,2026-01-19,2026-01-30
2025-10-28,2026-05-29,"30-60 / 太平東區 / 公教職",,,,,,711,39,3.350515,1.234358,2026-01-19,2026-01-30
2025-10-28,2026-05-29,"28-45 /  北區西區 / 百貨業",,,,,,635,15,1.728111,1.142105,2026-01-19,2026-01-30
2025-10-28,2026-05-29,"35-60 / 北屯太平 / 學區家長興趣",,,,,,847,21,2.439024,1.101023,2026-01-19,2026-01-30
2025-10-28,2026-05-29,"28-45/ 北屯潭子/ 在地成家",,,,,,7,1,10,1.111111,2026-01-21,2026-02-01
2025-10-28,2026-05-29,"40-65/ 北屯潭子/ 退休客群(排除IG)",,,,,,1,0,0,1,2026-01-21,2026-02-01
2025-10-28,2026-05-29,"33-58/ 東區大里/ 在地家庭主婦(純女)",,,,,,0,0,0,1,2026-01-21,2026-02-01
2025-10-28,2026-05-29,"30-60/ 中科中清/ 傳產製造貿易",,,,,,0,0,0,1,2026-01-21,2026-02-01
